date,campaign,channel,region,impressions,clicks,spend,leads,mqls,sqls,opportunities,deals,revenue
2023-01-01,Brand Awareness 2023,Paid Social,LATAM,21169,727,845.68,37,27,21,13,3,3077.8
2023-01-01,Brand Awareness 2023,Organic Search,North America,38551,1573,197.43,158,119,79,44,20,31151.0
2023-01-01,Brand Awareness 2023,Organic Search,EMEA,24833,1082,156.84,105,80,48,26,11,15452.38
2023-01-01,Brand Awareness 2023,Organic Search,APAC,26872,1066,72.69,112,64,33,14,3,3754.24
2023-01-01,Brand Awareness 2023,Organic Search,LATAM,20671,447,53.21,40,22,11,4,1,1074.97
2023-01-01,Brand Awareness 2023,Referral,North America,12920,731,237.02,164,118,65,30,9,10558.17
2023-01-01,Brand Awareness 2023,Referral,EMEA,8514,395,53.69,77,50,28,13,4,5549.81
2023-01-01,Brand Awareness 2023,Referral,APAC,9505,686,271.62,141,102,64,28,7,7879.86
2023-01-01,Brand Awareness 2023,Referral,LATAM,5896,301,117.64,55,30,23,9,3,3301.06
2023-01-01,Retention Push Q1,Email,North America,28565,2874,1063.88,532,310,226,103,30,39547.54
2023-01-01,Retention Push Q1,Email,EMEA,20974,1936,584.39,297,154,122,60,26,30099.77
2023-01-01,Retention Push Q1,Email,APAC,16367,2526,1355.78,534,296,153,95,35,32723.7
2023-01-01,Retention Push Q1,Email,LATAM,16642,2216,1105.88,449,283,173,93,27,26371.56
2023-01-01,Retention Push Q1,Paid Search,North America,59706,2209,1981.86,226,166,113,63,29,33968.13
2023-01-01,Retention Push Q1,Paid Search,EMEA,41677,3442,5641.19,470,252,156,99,24,29292.19
2023-01-01,Retention Push Q1,Paid Search,APAC,30638,1252,905.88,147,115,62,35,12,13979.44
2023-01-01,Retention Push Q1,Paid Search,LATAM,35097,1374,2460.24,180,140,108,57,13,12574.04
2023-01-01,Retention Push Q1,Paid Social,North America,44300,888,676.46,41,25,16,10,3,3699.4
2023-01-01,Retention Push Q1,Paid Social,EMEA,28204,1056,494.5,55,27,18,8,3,3737.35
2023-01-01,Retention Push Q1,Paid Social,APAC,23317,861,648.0,35,22,14,5,2,1862.13
2023-01-01,Retention Push Q1,Paid Social,LATAM,19824,420,245.64,20,10,5,3,1,807.98
2023-01-01,Retention Push Q1,Organic Search,North America,42478,1018,52.22,110,83,62,32,12,15260.91
2023-01-01,Retention Push Q1,Organic Search,EMEA,21477,1196,111.96,112,64,39,22,6,8491.55
2023-01-01,Retention Push Q1,Organic Search,APAC,31270,1744,258.88,169,85,49,27,10,9381.65
2023-01-01,Retention Push Q1,Organic Search,LATAM,18131,780,85.6,79,54,40,18,3,3070.12
2023-01-01,Retention Push Q1,Referral,North America,9662,413,78.11,71,51,26,15,4,5913.0
2023-01-01,Retention Push Q1,Referral,EMEA,9856,412,131.2,74,50,25,13,4,4791.34
2023-01-01,Retention Push Q1,Referral,APAC,10017,818,214.78,148,100,60,25,11,13652.24
2023-01-01,Retention Push Q1,Referral,LATAM,7975,438,164.1,87,49,39,26,5,3905.18
2023-01-01,Retention Push Q3,Email,North America,26842,2785,1221.24,573,431,256,166,35,47171.88
2023-01-01,Retention Push Q3,Email,EMEA,22697,1934,1059.91,365,279,191,89,18,24181.49
2023-01-01,Retention Push Q3,Email,APAC,23377,2526,1250.45,522,415,303,159,51,50592.26
2023-01-01,Retention Push Q3,Email,LATAM,11762,980,359.69,189,106,83,52,11,9153.55
2023-01-01,Retention Push Q3,Paid Search,North America,62145,5379,4169.78,575,317,179,81,35,60377.34
2023-01-01,Retention Push Q3,Paid Search,EMEA,32173,2428,4469.22,259,146,96,55,20,28374.25
2023-01-01,Retention Push Q3,Paid Search,APAC,43821,3037,4823.47,345,199,142,77,17,18217.43
2023-01-01,Retention Push Q3,Paid Search,LATAM,29552,1503,2687.54,207,153,106,69,31,32768.34
2023-01-01,Retention Push Q3,Paid Social,North America,33396,363,228.56,16,11,6,3,1,1515.92
2023-01-01,Retention Push Q3,Paid Social,EMEA,29955,1000,950.31,50,39,23,13,6,7799.54
2023-01-01,Retention Push Q3,Paid Social,APAC,23322,667,439.48,39,30,21,9,3,3477.55
2023-01-01,Retention Push Q3,Paid Social,LATAM,23704,540,626.77,30,21,11,4,1,1130.35
2023-01-01,Retention Push Q3,Organic Search,North America,34266,2033,298.48,235,133,75,30,11,18175.6
2023-01-01,Retention Push Q3,Organic Search,EMEA,34978,1575,146.52,128,99,67,42,14,16743.52
2023-01-01,Retention Push Q3,Organic Search,APAC,19940,646,82.68,51,26,16,8,3,3214.74
2023-01-01,Retention Push Q3,Organic Search,LATAM,16022,640,37.03,69,46,23,11,3,2456.89
2023-01-01,Retention Push Q3,Referral,North America,12486,577,196.48,121,86,43,29,6,8085.14
2023-01-01,Retention Push Q3,Referral,EMEA,11888,798,313.42,168,110,79,33,7,7851.97
2023-01-01,Retention Push Q3,Referral,APAC,7283,605,144.47,107,85,67,39,10,12390.94
2023-01-01,Retention Push Q3,Referral,LATAM,7954,789,144.43,128,97,65,34,14,13936.48
2023-01-01,Holiday Promo 2023,Email,North America,29938,2899,789.66,566,437,242,114,56,94650.92
2023-01-01,Holiday Promo 2023,Email,EMEA,20177,2194,1289.91,356,248,148,93,22,31930.58
2023-01-01,Holiday Promo 2023,Email,APAC,16239,2375,925.9,370,203,103,63,25,28587.7
2023-01-01,Holiday Promo 2023,Email,LATAM,10740,1090,236.13,166,105,81,40,14,19042.73
2023-01-01,Holiday Promo 2023,Paid Search,North America,52006,2979,5841.48,305,155,91,55,14,27754.44
2023-01-01,Holiday Promo 2023,Paid Search,EMEA,32251,2589,4089.24,325,247,165,67,32,48867.53
2023-01-01,Holiday Promo 2023,Paid Search,APAC,27502,2474,2783.6,340,249,166,103,47,68168.17
2023-01-01,Holiday Promo 2023,Paid Search,LATAM,26917,1001,1186.41,113,69,48,24,8,9836.1
2023-01-01,Holiday Promo 2023,Paid Social,North America,45011,1615,1634.23,65,39,23,11,4,8171.43
2023-01-01,Holiday Promo 2023,Paid Social,EMEA,24882,732,459.62,42,21,16,8,1,1462.56
2023-01-01,Holiday Promo 2023,Paid Social,APAC,27933,507,306.86,22,15,8,4,1,1454.63
2023-01-01,Holiday Promo 2023,Paid Social,LATAM,25238,972,663.62,56,31,17,9,2,2096.46
2023-01-01,Holiday Promo 2023,Organic Search,North America,42968,1931,213.78,199,109,78,51,13,20055.38
2023-01-01,Holiday Promo 2023,Organic Search,EMEA,28036,713,76.89,68,42,30,18,8,9581.96
2023-01-01,Holiday Promo 2023,Organic Search,APAC,20287,589,60.84,48,31,16,10,2,2418.86
2023-01-01,Holiday Promo 2023,Organic Search,LATAM,23135,1138,108.15,93,62,48,21,8,8654.09
2023-01-01,Holiday Promo 2023,Referral,North America,13187,648,225.39,155,120,79,51,18,34612.88
2023-01-01,Holiday Promo 2023,Referral,EMEA,11252,509,202.4,119,79,46,23,7,11496.95
2023-01-01,Holiday Promo 2023,Referral,APAC,7425,688,270.17,157,116,85,41,9,12321.72
2023-01-01,Holiday Promo 2023,Referral,LATAM,8354,638,248.14,141,77,50,25,6,7048.94
2023-01-01,Evergreen Nurture,Email,North America,30707,3519,790.16,669,377,258,153,37,43855.42
2023-01-01,Evergreen Nurture,Email,EMEA,22340,3545,1863.21,536,379,196,108,53,61719.56
2023-01-01,Evergreen Nurture,Email,APAC,14011,2114,829.82,430,309,225,90,29,31762.37
2023-01-01,Evergreen Nurture,Email,LATAM,11607,939,224.64,168,89,59,31,14,13311.07
2023-01-01,Evergreen Nurture,Paid Search,North America,44425,2557,1917.63,342,203,143,75,20,30635.76
2023-01-01,Evergreen Nurture,Paid Search,EMEA,49482,3307,2624.8,434,283,199,82,18,23652.07
2023-01-01,Evergreen Nurture,Paid Search,APAC,32830,1673,1349.82,174,92,64,40,11,12472.4
2023-01-01,Evergreen Nurture,Paid Search,LATAM,26016,969,1436.49,117,59,46,29,8,8160.7
2023-01-01,Evergreen Nurture,Paid Social,North America,32628,546,500.49,26,17,13,6,1,1648.15
2023-01-01,Evergreen Nurture,Paid Social,EMEA,42276,1380,599.66,75,54,37,16,5,6542.35
2023-01-01,Evergreen Nurture,Paid Social,APAC,37506,1321,1332.75,68,44,25,14,5,4340.16
2023-01-01,Evergreen Nurture,Paid Social,LATAM,20776,269,226.87,11,7,5,2,1,781.56
2023-01-01,Evergreen Nurture,Organic Search,North America,41307,1366,121.78,125,95,75,38,12,18632.11
2023-01-01,Evergreen Nurture,Organic Search,EMEA,21057,499,65.12,49,33,17,9,3,4068.07
2023-01-01,Evergreen Nurture,Organic Search,APAC,26971,1386,152.21,154,100,63,27,8,10362.29
2023-01-01,Evergreen Nurture,Organic Search,LATAM,26457,1360,71.56,131,98,60,34,12,13048.46
2023-01-01,Evergreen Nurture,Referral,North America,10366,681,169.53,156,117,65,41,13,18247.14
2023-01-01,Evergreen Nurture,Referral,EMEA,11377,967,175.59,205,161,83,34,9,11920.6
2023-01-01,Evergreen Nurture,Referral,APAC,8728,381,102.13,88,47,31,16,4,5074.83
2023-01-01,Evergreen Nurture,Referral,LATAM,5119,283,47.43,60,33,22,11,5,4321.86
2023-01-01,Product Upgrade Launch,Email,North America,29048,3628,1428.99,540,384,254,107,36,51058.16
2023-01-01,Product Upgrade Launch,Email,EMEA,18941,2501,664.97,442,227,167,76,21,29008.53
2023-01-01,Product Upgrade Launch,Email,APAC,22099,3307,1319.91,482,250,159,106,38,45564.44
2023-01-01,Product Upgrade Launch,Email,LATAM,17901,1723,453.46,326,241,149,100,35,39058.57
2023-01-01,Product Upgrade Launch,Paid Search,North America,41574,1598,2788.01,203,110,69,40,9,15469.63
2023-01-01,Product Upgrade Launch,Paid Search,EMEA,44030,1759,2904.01,169,112,73,44,20,24391.62
2023-01-01,Product Upgrade Launch,Paid Search,APAC,40541,2362,1962.42,282,211,126,56,23,24346.69
2023-01-01,Product Upgrade Launch,Paid Search,LATAM,32180,2164,1710.71,309,213,114,68,20,21788.48
2023-01-01,Product Upgrade Launch,Paid Social,North America,36437,924,861.16,37,21,14,9,4,6153.37
2023-01-01,Product Upgrade Launch,Paid Social,EMEA,36269,863,538.54,41,32,17,8,1,1397.17
2023-01-01,Product Upgrade Launch,Paid Social,APAC,36299,1411,837.45,79,46,35,15,6,5964.88
2023-01-01,Product Upgrade Launch,Paid Social,LATAM,25945,837,866.85,47,32,21,14,3,3450.74
2023-01-01,Product Upgrade Launch,Organic Search,North America,43683,1920,156.85,160,123,86,55,25,39943.87
2023-01-01,Product Upgrade Launch,Organic Search,EMEA,31834,1440,158.49,155,88,57,24,7,8421.05
2023-01-01,Product Upgrade Launch,Organic Search,APAC,29172,1134,80.17,97,56,44,21,7,6064.65
2023-01-01,Product Upgrade Launch,Organic Search,LATAM,14796,496,41.92,51,33,19,12,3,3311.1
2023-01-01,Product Upgrade Launch,Referral,North America,11953,761,76.46,147,91,70,42,16,24297.08
2023-01-01,Product Upgrade Launch,Referral,EMEA,7306,342,130.82,65,41,25,10,3,3842.74
2023-01-01,Product Upgrade Launch,Referral,APAC,9964,944,213.92,197,150,107,46,21,20820.61
2023-01-01,Product Upgrade Launch,Referral,LATAM,6941,420,98.25,91,63,47,28,9,9671.2
2023-01-01,Webinar Series 2023,Email,North America,28642,4256,1135.26,726,493,350,212,66,81903.94
2023-01-01,Webinar Series 2023,Email,EMEA,14305,1883,1120.79,313,220,149,75,19,18491.13
2023-01-01,Webinar Series 2023,Email,APAC,18058,2837,1588.81,441,223,162,87,24,26987.31
2023-01-01,Webinar Series 2023,Email,LATAM,16744,2657,1341.15,447,296,161,91,32,26967.54
2023-01-01,Webinar Series 2023,Paid Search,North America,35260,1629,3244.97,201,108,68,39,13,19623.51
2023-01-01,Webinar Series 2023,Paid Search,EMEA,32831,1062,1834.78,151,116,83,46,21,29001.07
2023-01-01,Webinar Series 2023,Paid Search,APAC,45591,2633,3593.14,327,200,117,53,22,28328.95
2023-01-01,Webinar Series 2023,Paid Search,LATAM,26447,2006,3708.1,203,153,96,62,29,32588.2
2023-01-01,Webinar Series 2023,Paid Social,North America,29881,946,1133.55,43,26,19,9,2,2643.4
2023-01-01,Webinar Series 2023,Paid Social,EMEA,24800,798,368.77,44,30,21,13,4,3966.74
2023-01-01,Webinar Series 2023,Paid Social,APAC,28642,1100,504.15,55,32,16,8,3,2893.17
2023-01-01,Webinar Series 2023,Paid Social,LATAM,21280,471,234.72,23,13,8,5,1,940.55
2023-01-01,Webinar Series 2023,Organic Search,North America,37854,1123,88.07,126,93,61,33,8,12117.0
2023-01-01,Webinar Series 2023,Organic Search,EMEA,21977,888,53.45,80,56,29,18,3,3269.37
2023-01-01,Webinar Series 2023,Organic Search,APAC,32551,1215,61.28,115,90,47,28,9,10548.32
2023-01-01,Webinar Series 2023,Organic Search,LATAM,23096,1110,106.3,93,68,47,19,5,4547.92
2023-01-01,Webinar Series 2023,Referral,North America,11062,1006,297.26,178,124,79,52,13,20506.62
2023-01-01,Webinar Series 2023,Referral,EMEA,8893,830,167.0,151,92,47,20,7,6784.94
2023-01-01,Webinar Series 2023,Referral,APAC,6971,527,207.01,84,53,41,22,8,7345.9
2023-01-01,Webinar Series 2023,Referral,LATAM,4971,204,72.24,37,27,17,8,2,1554.12
2023-01-01,Referral Program Pilot,Email,North America,29739,4242,1652.36,630,358,205,111,47,80981.23
2023-01-01,Referral Program Pilot,Email,EMEA,20533,3224,1690.83,496,340,249,142,34,38273.54
2023-01-01,Referral Program Pilot,Email,APAC,22508,2323,1354.71,359,180,124,66,15,13454.03
2023-01-01,Referral Program Pilot,Email,LATAM,12107,1750,1036.83,272,172,96,39,17,14341.53
2023-01-01,Referral Program Pilot,Paid Search,North America,61001,4434,7672.48,518,351,183,107,52,75522.76
2023-01-01,Referral Program Pilot,Paid Search,EMEA,51455,2042,1461.53,258,180,98,55,23,24604.59
2023-01-01,Referral Program Pilot,Paid Search,APAC,38902,1917,2333.35,223,113,72,43,10,11927.55
2023-01-01,Referral Program Pilot,Paid Search,LATAM,25844,1944,1968.34,219,161,92,52,15,14434.32
2023-01-01,Referral Program Pilot,Paid Social,North America,34965,533,363.74,31,20,12,6,2,3332.23
2023-01-01,Referral Program Pilot,Paid Social,EMEA,33308,830,668.6,36,21,15,6,1,1361.2
2023-01-01,Referral Program Pilot,Paid Social,APAC,28328,839,615.2,42,24,15,6,1,1284.37
2023-01-01,Referral Program Pilot,Paid Social,LATAM,20474,346,228.44,20,11,7,4,1,837.74
2023-01-01,Referral Program Pilot,Organic Search,North America,33212,1666,241.94,172,120,62,34,14,18267.59
2023-01-01,Referral Program Pilot,Organic Search,EMEA,31827,767,91.63,76,46,35,22,9,12362.5
2023-01-01,Referral Program Pilot,Organic Search,APAC,23339,780,100.32,89,63,45,25,12,12360.5
2023-01-01,Referral Program Pilot,Organic Search,LATAM,15017,883,120.32,78,55,40,22,10,10752.01
2023-01-01,Referral Program Pilot,Referral,North America,12379,725,75.14,132,100,70,44,12,18482.83
2023-01-01,Referral Program Pilot,Referral,EMEA,7311,564,65.97,105,75,46,19,8,9115.86
2023-01-01,Referral Program Pilot,Referral,APAC,11400,742,290.27,163,86,50,24,7,6390.63
2023-01-01,Referral Program Pilot,Referral,LATAM,6595,421,51.65,76,42,27,12,3,3400.04
2023-01-01,Reactivation Campaign,Email,North America,21080,1841,817.41,267,210,120,72,29,49222.24
2023-01-01,Reactivation Campaign,Email,EMEA,15270,1410,610.77,262,186,130,67,13,17720.36
2023-01-01,Reactivation Campaign,Email,APAC,14636,1958,731.82,295,213,164,86,23,26208.07
2023-01-01,Reactivation Campaign,Email,LATAM,11832,1622,364.97,235,135,76,36,9,7192.45
2023-01-01,Reactivation Campaign,Paid Search,North America,61002,4776,5647.37,504,345,249,154,54,70570.42
2023-01-01,Reactivation Campaign,Paid Search,EMEA,36842,2578,2019.11,278,197,123,65,25,24262.96
2023-01-01,Reactivation Campaign,Paid Search,APAC,31702,1057,836.76,140,87,60,28,6,7294.21
2023-01-01,Reactivation Campaign,Paid Search,LATAM,31110,1473,2780.91,179,108,65,42,18,17318.94
2023-01-01,Reactivation Campaign,Paid Social,North America,53116,1156,1027.03,50,37,26,16,7,8786.75
2023-01-01,Reactivation Campaign,Paid Social,EMEA,39072,584,346.45,31,20,10,4,1,1066.73
2023-01-01,Reactivation Campaign,Paid Social,APAC,31863,373,357.01,16,12,8,4,1,1080.05
2023-01-01,Reactivation Campaign,Paid Social,LATAM,23205,602,339.2,25,15,8,4,1,774.96
2023-01-01,Reactivation Campaign,Organic Search,North America,42323,1910,159.22,172,86,61,34,15,21179.18
2023-01-01,Reactivation Campaign,Organic Search,EMEA,24301,559,31.67,62,47,26,10,4,3982.28
2023-01-01,Reactivation Campaign,Organic Search,APAC,24982,1058,127.89,93,56,34,14,4,3832.13
2023-01-01,Reactivation Campaign,Organic Search,LATAM,23037,1172,137.26,96,70,47,29,12,12636.3
2023-01-01,Reactivation Campaign,Referral,North America,9623,822,132.08,170,118,90,51,19,25322.52
2023-01-01,Reactivation Campaign,Referral,EMEA,8449,433,165.28,71,50,30,19,7,8858.22
2023-01-01,Reactivation Campaign,Referral,APAC,8052,609,139.89,110,76,56,35,14,12284.39
2023-01-01,Reactivation Campaign,Referral,LATAM,5990,253,44.2,53,31,23,15,4,3957.81
2023-02-01,Spring Launch 2023,Email,North America,17768,1556,392.16,320,255,145,59,19,25311.04
2023-02-01,Spring Launch 2023,Email,EMEA,21852,2153,1175.05,316,237,162,92,35,41030.54
2023-02-01,Spring Launch 2023,Email,APAC,20239,2249,1034.1,379,249,140,97,47,49841.54
2023-02-01,Spring Launch 2023,Email,LATAM,15468,2075,942.83,402,285,197,95,23,23561.66
2023-02-01,Spring Launch 2023,Paid Search,North America,57716,1797,1616.94,244,180,141,79,27,40173.78
2023-02-01,Spring Launch 2023,Paid Search,EMEA,42228,1398,2588.99,174,132,100,59,15,20179.01
2023-02-01,Spring Launch 2023,Paid Search,APAC,46740,3918,7084.97,535,277,166,69,33,29524.67
2023-02-01,Spring Launch 2023,Paid Search,LATAM,23141,1345,2337.32,138,109,79,54,17,13902.54
2023-02-01,Spring Launch 2023,Paid Social,North America,35862,425,361.56,18,10,7,3,1,1486.48
2023-02-01,Spring Launch 2023,Paid Social,EMEA,35115,639,549.18,31,18,13,5,1,1373.86
2023-02-01,Spring Launch 2023,Paid Social,APAC,27982,1110,1207.5,48,31,22,12,4,4240.49
2023-02-01,Spring Launch 2023,Paid Social,LATAM,28357,1092,560.17,56,36,24,11,4,3500.0
2023-02-01,Spring Launch 2023,Organic Search,North America,29924,1708,221.34,175,95,58,37,11,16934.64
2023-02-01,Spring Launch 2023,Organic Search,EMEA,24969,762,75.14,87,64,44,27,6,5875.37
2023-02-01,Spring Launch 2023,Organic Search,APAC,23621,914,121.34,100,54,34,17,6,5262.96
2023-02-01,Spring Launch 2023,Organic Search,LATAM,17276,974,92.44,97,49,25,14,4,3148.21
2023-02-01,Spring Launch 2023,Referral,North America,13617,854,184.63,191,117,84,36,15,17851.67
2023-02-01,Spring Launch 2023,Referral,EMEA,7114,431,165.57,69,54,37,25,6,8308.38
2023-02-01,Spring Launch 2023,Referral,APAC,10290,853,298.87,184,126,100,49,14,17753.81
2023-02-01,Spring Launch 2023,Referral,LATAM,5680,282,91.98,58,31,24,12,4,3959.64
2023-02-01,Brand Awareness 2023,Email,North America,29822,4335,2443.51,831,518,321,213,99,124576.48
2023-02-01,Brand Awareness 2023,Email,EMEA,18105,2071,550.39,341,220,129,74,24,31484.16
2023-02-01,Brand Awareness 2023,Email,APAC,19713,3046,736.47,526,314,158,102,44,42096.94
2023-02-01,Brand Awareness 2023,Email,LATAM,10364,1322,697.35,200,110,73,35,16,14423.16
2023-02-01,Brand Awareness 2023,Paid Search,North America,35050,2506,2897.1,270,181,110,71,31,39444.96
2023-02-01,Brand Awareness 2023,Paid Search,EMEA,30032,1769,1511.15,238,177,108,58,16,15610.82
2023-02-01,Brand Awareness 2023,Paid Search,APAC,35472,1407,2195.36,183,95,59,25,9,9343.67
2023-02-01,Brand Awareness 2023,Paid Search,LATAM,33605,2241,2098.28,253,157,110,65,14,13005.53
2023-02-01,Brand Awareness 2023,Paid Social,North America,33638,569,411.14,33,18,13,8,3,4626.61
2023-02-01,Brand Awareness 2023,Paid Social,EMEA,33497,482,391.04,27,16,9,6,1,1116.1
2023-02-01,Brand Awareness 2023,Paid Social,APAC,22792,896,549.02,48,28,19,12,5,5623.62
2023-02-01,Brand Awareness 2023,Paid Social,LATAM,26844,1024,1029.97,45,26,17,8,1,918.95
2023-02-01,Brand Awareness 2023,Organic Search,North America,27365,725,39.92,58,43,34,14,3,4447.79
2023-02-01,Brand Awareness 2023,Organic Search,EMEA,28072,1445,202.91,117,79,48,33,11,13463.31
2023-02-01,Brand Awareness 2023,Organic Search,APAC,19719,571,71.52,64,49,25,13,3,3230.33
2023-02-01,Brand Awareness 2023,Organic Search,LATAM,20270,536,29.84,60,43,23,10,2,1836.99
2023-02-01,Brand Awareness 2023,Referral,North America,13419,1257,184.65,231,131,81,38,15,23655.9
2023-02-01,Brand Awareness 2023,Referral,EMEA,9162,452,100.96,108,85,62,37,13,15147.52
2023-02-01,Brand Awareness 2023,Referral,APAC,8083,657,107.15,148,98,71,28,12,14335.64
2023-02-01,Brand Awareness 2023,Referral,LATAM,5962,479,158.35,109,65,45,26,9,7694.0
2023-02-01,Retention Push Q1,Email,North America,26769,2641,888.77,405,276,208,86,36,41755.72
2023-02-01,Retention Push Q1,Email,EMEA,14979,1508,838.68,236,138,96,66,14,14043.97
2023-02-01,Retention Push Q1,Email,APAC,19089,2047,963.2,338,222,157,105,45,44166.8
2023-02-01,Retention Push Q1,Email,LATAM,11630,1546,367.59,258,180,120,60,14,12913.3
2023-02-01,Retention Push Q1,Paid Search,North America,54593,2025,2771.82,219,110,72,47,22,33037.62
2023-02-01,Retention Push Q1,Paid Search,EMEA,37329,1332,2339.28,190,120,79,52,25,32070.09
2023-02-01,Retention Push Q1,Paid Search,APAC,39935,1517,2282.97,196,139,100,66,23,24273.98
2023-02-01,Retention Push Q1,Paid Search,LATAM,29967,1251,1828.04,148,99,65,27,5,5414.53
2023-02-01,Retention Push Q1,Paid Social,North America,30447,534,294.74,30,22,14,8,2,2717.13
2023-02-01,Retention Push Q1,Paid Social,EMEA,43638,510,306.36,23,16,9,5,1,1425.27
2023-02-01,Retention Push Q1,Paid Social,APAC,29191,734,521.01,44,27,16,8,1,1144.04
2023-02-01,Retention Push Q1,Paid Social,LATAM,18053,531,281.5,26,17,11,5,1,790.49
2023-02-01,Retention Push Q1,Organic Search,North America,37131,1255,117.06,127,66,44,29,9,10785.91
2023-02-01,Retention Push Q1,Organic Search,EMEA,37912,879,59.52,92,68,49,23,11,10772.71
2023-02-01,Retention Push Q1,Organic Search,APAC,25467,1194,112.22,134,105,53,36,8,8228.57
2023-02-01,Retention Push Q1,Organic Search,LATAM,15387,440,49.78,36,26,19,10,3,2993.54
2023-02-01,Retention Push Q1,Referral,North America,11381,882,205.11,181,100,51,29,12,14953.19
2023-02-01,Retention Push Q1,Referral,EMEA,8106,573,208.23,113,69,51,22,7,8594.46
2023-02-01,Retention Push Q1,Referral,APAC,11482,832,212.63,176,90,70,45,13,12612.68
2023-02-01,Retention Push Q1,Referral,LATAM,6404,402,80.65,82,42,21,12,4,3344.0
2023-02-01,Retention Push Q3,Email,North America,18217,2851,1193.92,459,242,133,85,34,46021.18
2023-02-01,Retention Push Q3,Email,EMEA,23389,3728,1243.95,644,401,318,144,63,84797.97
2023-02-01,Retention Push Q3,Email,APAC,21957,1861,666.98,321,210,167,73,29,36419.42
2023-02-01,Retention Push Q3,Email,LATAM,18128,1752,738.27,297,201,135,60,20,18085.11
2023-02-01,Retention Push Q3,Paid Search,North America,56070,2560,3786.47,336,229,148,65,18,25881.01
2023-02-01,Retention Push Q3,Paid Search,EMEA,34855,1095,2042.77,129,68,46,25,8,9896.13
2023-02-01,Retention Push Q3,Paid Search,APAC,44438,3493,4965.91,431,238,138,63,17,15287.09
2023-02-01,Retention Push Q3,Paid Search,LATAM,21074,1287,934.59,173,87,60,36,15,14772.04
2023-02-01,Retention Push Q3,Paid Social,North America,46108,1840,2000.61,105,54,30,20,5,6448.51
2023-02-01,Retention Push Q3,Paid Social,EMEA,40418,902,644.79,47,36,21,13,5,6550.34
2023-02-01,Retention Push Q3,Paid Social,APAC,32918,637,443.47,34,19,11,5,1,1229.53
